	seqid	db	taxid	lineage
UniRef100_L0GXW7	L0GXW7	uniprot	765912	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thioflavicoccus;Thioflavicoccus mobilis
UniRef100_W9VUZ5	W9VUZ5	uniprot	1249627	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Imhoffiella
UniRef100_A0A0F2J6J2	A0A0F2J6J2	uniprot	1609970	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Candidatus Magnetoovum
UniRef100_A0A120DCI9	A0A120DCI9	uniprot		
UniRef100_A0A177E6F7	A0A177E6F7	uniprot	1795632	cellular organisms;Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermodesulfatator
UniRef100_A0A1E7GNB9	A0A1E7GNB9	uniprot	1869298	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;unclassified Desulfobacterales
UniRef100_A0A1E7HD04	A0A1E7HD04	uniprot	1866913	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;unclassified Desulfobacterales
UniRef100_A0A1G1H1H8	A0A1G1H1H8	uniprot	1801709	cellular organisms;Bacteria;Nitrospirae;unclassified Nitrospirae
UniRef100_A0A1H7WUX0	A0A1H7WUX0	uniprot	43775	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophales;Syntrophaceae;Syntrophus
UniRef100_A0A1V5CH65	A0A1V5CH65	uniprot	1811715	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophorhabdales;Syntrophorhabdaceae;unclassified Syntrophorhabdaceae
UniRef100_A0A1V5D161	A0A1V5D161	uniprot	1811704	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophorhabdales;Syntrophorhabdaceae;Syntrophorhabdus;unclassified Syntrophorhabdus
UniRef100_A0A318CNJ3	A0A318CNJ3	uniprot	2026735	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria
UniRef100_A0A3A5ASF6	A0A3A5ASF6	uniprot	2049433	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;unclassified Desulfobacteraceae
UniRef100_A0A3B1DYD9	A0A3B1DYD9	uniprot	652676	unclassified entries;unclassified sequences;metagenomes;ecological metagenomes
UniRef100_A0A3N5I7U3	A0A3N5I7U3	uniprot	2049433	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;unclassified Desulfobacteraceae
UniRef100_A0A3N5SIP1	A0A3N5SIP1	uniprot	2049433	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;unclassified Desulfobacteraceae
UniRef100_A0A3N5YSD0	A0A3N5YSD0	uniprot	2049433	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;unclassified Desulfobacteraceae
UniRef100_A0A419J5K7	A0A419J5K7	uniprot	2026770	cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;unclassified Nitrospiraceae
UniRef100_A0A4P8L1K5	A0A4P8L1K5	uniprot	980445	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfoglaeba;Desulfoglaeba alkanexedens
UniRef100_A0A4Q5L585	A0A4Q5L585	uniprot	2516328	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;unclassified Methylococcaceae
UniRef100_A0A7C2P3T3	A0A7C2P3T3	uniprot	2024963	cellular organisms;Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Caldimicrobium;unclassified Caldimicrobium
UniRef100_A0A7C3XXN4	A0A7C3XXN4	uniprot	2026735	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria
UniRef100_A0A7C4IWK1	A0A7C4IWK1	uniprot	2044940	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;unclassified Desulfobacterales
