	seqid	db	taxid	lineage	lineage_taxonkit	k	p	c	o	f	g	s	p_r
UniRef100_A0A1M4UKH7	A0A1M4UKH7	uniprot	1123243.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Schwartzia;Schwartzia succinivorans	k__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Schwartzia;s__Schwartzia succinivorans	Bacteria	Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Schwartzia	Schwartzia succinivorans	Bacillota
UniRef100_U7UG21	U7UG21	uniprot	1111454.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	k__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera vaginalis	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera vaginalis	Bacillota
UniRef100_A0A661CUI5	A0A661CUI5	uniprot	1913989.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__Gammaproteobacteria bacterium	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	Gammaproteobacteria bacterium	Proteobacteria
UniRef100_A0A2U3JXY9	A0A2U3JXY9	uniprot	2043167.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;unclassified Syntrophobacter	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter;s__Syntrophobacter sp. SbD1	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	Syntrophobacter sp. SbD1	Proteobacteria
UniRef100_A0A2Y9U1N0	A0A2Y9U1N0	uniprot	2172103.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Budviciaceae;Limnobaculum	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Budviciaceae;g__Limnobaculum;s__Limnobaculum parvum	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Budviciaceae	Limnobaculum	Limnobaculum parvum	Proteobacteria
UniRef100_A0A0R1M0T4	A0A0R1M0T4	uniprot	1423731.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Liquorilactobacillus;Liquorilactobacillus capillatus	k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Liquorilactobacillus;s__Liquorilactobacillus capillatus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Liquorilactobacillus	Liquorilactobacillus capillatus	Bacillota
UniRef100_I4GUZ5	I4GUZ5	uniprot	1160282.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Microcystaceae;Microcystis;Microcystis aeruginosa	k__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa	Bacteria	Cyanobacteria	NA	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa	Cyanobacteria
UniRef100_B8IRK8	B8IRK8	uniprot	460265.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium nodulans	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Methylobacterium;s__Methylobacterium nodulans	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium nodulans	Proteobacteria
UniRef100_K9QAC1	K9QAC1	uniprot	317936.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Nostoc;unclassified Nostoc	k__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Nostoc;s__Nostoc sp. PCC 7107	Bacteria	Cyanobacteria	NA	Nostocales	Nostocaceae	Nostoc	Nostoc sp. PCC 7107	Cyanobacteria
UniRef100_A0A177NK71	A0A177NK71	uniprot	702114.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomonas	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylomonas;s__Methylomonas koyamae	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas koyamae	Proteobacteria
UniRef100_A0A522WSV7	A0A522WSV7	uniprot	2051955.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylobacter;unclassified Methylobacter	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylobacter;s__Methylobacter sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	Methylobacter sp.	Proteobacteria
UniRef100_C7RME3	C7RME3	uniprot	522306.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria incertae sedis;Candidatus Accumulibacter	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__Candidatus Accumulibacter;s__Candidatus Accumulibacter regalis	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	Candidatus Accumulibacter	Candidatus Accumulibacter regalis	Proteobacteria
UniRef100_Q60BE2	Q60BE2	uniprot	243233.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylococcus;Methylococcus capsulatus	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylococcus;s__Methylococcus capsulatus	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus	Methylococcus capsulatus	Proteobacteria
UniRef100_A0A1I2V2D1	A0A1I2V2D1	uniprot	1121424.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Desulfallaceae;Desulfotruncus;Desulfotruncus arcticus	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfallaceae;g__Desulfotruncus;s__Desulfotruncus arcticus	Bacteria	Bacillota	Clostridia	Eubacteriales	Desulfallaceae	Desulfotruncus	Desulfotruncus arcticus	Bacillota
UniRef100_A0A1V1PHP6	A0A1V1PHP6	uniprot	890399.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Candidatus Magnetoglobus;Candidatus Magnetoglobus multicellularis	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Candidatus Magnetoglobus;s__Candidatus Magnetoglobus multicellularis	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Candidatus Magnetoglobus	Candidatus Magnetoglobus multicellularis	Proteobacteria
UniRef100_A0A2E6QPR2	A0A2E6QPR2	uniprot	1898112.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;unclassified Rhodospirillaceae	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__Rhodospirillaceae bacterium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA	Rhodospirillaceae bacterium	Proteobacteria
UniRef100_A0A2M9G3B5	A0A2M9G3B5	uniprot	2056226.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Minwuiales;Minwuiaceae;Minwuia	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Minwuiales;f__Minwuiaceae;g__Minwuia;s__Minwuia thermotolerans	Bacteria	Proteobacteria	Alphaproteobacteria	Minwuiales	Minwuiaceae	Minwuia	Minwuia thermotolerans	Proteobacteria
UniRef100_A0A564W9F0	A0A564W9F0	uniprot	2565273.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Defluviicoccus	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Defluviicoccus;s__Candidatus Defluviicoccus seviourii	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus	Candidatus Defluviicoccus seviourii	Proteobacteria
UniRef100_A0A6B8KM50	A0A6B8KM50	uniprot	391905.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylocystaceae;g__Methylocystis;s__Methylocystis heyeri	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis heyeri	Proteobacteria
UniRef100_A0A7C9JB03	A0A7C9JB03	uniprot	2024963.0	cellular organisms;Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Caldimicrobium;unclassified Caldimicrobium	k__Bacteria;p__Thermodesulfobacteria;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfobacteriaceae;g__Caldimicrobium;s__Caldimicrobium sp.	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Caldimicrobium	Caldimicrobium sp.	Other
UniRef100_A0A7X8AZK5	A0A7X8AZK5	uniprot	2026735.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__Deltaproteobacteria bacterium	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	Deltaproteobacteria bacterium	Proteobacteria
UniRef100_A5URS6	A5URS6	uniprot	357808.0	cellular organisms;Bacteria;Terrabacteria group;Chloroflexi;Chloroflexia;Chloroflexales;Roseiflexineae;Roseiflexaceae;Roseiflexus;unclassified Roseiflexus	k__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__Roseiflexus;s__Roseiflexus sp. RS-1	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Roseiflexus	Roseiflexus sp. RS-1	Other
UniRef100_D5C0Z1	D5C0Z1	uniprot	472759.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus;Nitrosococcus halophilus	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Nitrosococcus;s__Nitrosococcus halophilus	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus	Nitrosococcus halophilus	Proteobacteria
UniRef100_K9YF95	K9YF95	uniprot	65093.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Aphanothecaceae;Halothece cluster;Halothece;unclassified Halothece	k__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Aphanothecaceae;g__Halothece;s__Halothece sp. PCC 7418	Bacteria	Cyanobacteria	NA	Chroococcales	Aphanothecaceae	Halothece	Halothece sp. PCC 7418	Cyanobacteria
UniRef100_A0A1S8TNC8	A0A1S8TNC8	uniprot	349938.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;unclassified Clostridium	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. BL-8	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. BL-8	Bacillota
UniRef100_A0A4R2SZU6	A0A4R2SZU6	uniprot	1734049.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Serpentinicella	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Serpentinicella;s__Serpentinicella alkaliphila	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Serpentinicella	Serpentinicella alkaliphila	Bacillota
UniRef100_A0A350XDQ4	A0A350XDQ4	uniprot	2055768.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;unclassified Cyanobacteria	k__Bacteria;p__Cyanobacteria;c__;o__;f__;g__;s__Cyanobacteria bacterium UBA11372	Bacteria	Cyanobacteria	NA	NA	NA	NA	Cyanobacteria bacterium UBA11372	Cyanobacteria
UniRef100_A0A3B9K9P8	A0A3B9K9P8	uniprot	2028282.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;unclassified Lachnoclostridium	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium sp.	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium sp.	Bacillota
UniRef100_A0A218QNF3	A0A218QNF3	uniprot	2005459.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Tolypothrichaceae;Tolypothrix;unclassified Tolypothrix	k__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Tolypothrichaceae;g__Tolypothrix;s__Tolypothrix sp. NIES-4075	Bacteria	Cyanobacteria	NA	Nostocales	Tolypothrichaceae	Tolypothrix	Tolypothrix sp. NIES-4075	Cyanobacteria
UniRef100_A0A841VDF3	A0A841VDF3	uniprot	2681312.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Nostoc;unclassified Nostoc	k__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Nostoc;s__Nostoc sp. UCD120	Bacteria	Cyanobacteria	NA	Nostocales	Nostocaceae	Nostoc	Nostoc sp. UCD120	Cyanobacteria
UniRef100_R5EVV2	R5EVV2	uniprot	1262974.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;environmental samples	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__Succinatimonas;s__Succinatimonas sp. CAG:777	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinatimonas	Succinatimonas sp. CAG:777	Proteobacteria
UniRef100_A0A845R8M2	A0A845R8M2	uniprot	2304568.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Eubacteriales incertae sedis;Colidextribacter;unclassified Colidextribacter	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__Colidextribacter;s__Colidextribacter sp. OB.20	Bacteria	Bacillota	Clostridia	Eubacteriales	NA	Colidextribacter	Colidextribacter sp. OB.20	Bacillota
UniRef100_A0A2L2XEP1	A0A2L2XEP1	uniprot	1898651.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Desulfocucumis	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Desulfocucumis;s__Desulfocucumis palustris	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Desulfocucumis	Desulfocucumis palustris	Bacillota
UniRef100_A0A7C2VMR7	A0A7C2VMR7	uniprot	2026724.0	cellular organisms;Bacteria;Terrabacteria group;Chloroflexi;unclassified Chloroflexi	k__Bacteria;p__Chloroflexi;c__;o__;f__;g__;s__Chloroflexi bacterium	Bacteria	Chloroflexi	NA	NA	NA	NA	Chloroflexi bacterium	Other
UniRef100_A0A841KVH5	A0A841KVH5	uniprot	1417629.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Anaerosolibacter	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Anaerosolibacter;s__Anaerosolibacter carboniphilus	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Anaerosolibacter	Anaerosolibacter carboniphilus	Bacillota
UniRef100_B9E3D7	B9E3D7	uniprot	583346.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium kluyveri	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium kluyveri	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium kluyveri	Bacillota
UniRef100_A0A3E1HHF6	A0A3E1HHF6	uniprot	2162698.0	cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium uberis	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium uberis	Actinomycetota
UniRef100_A0A6B8M3E9	A0A6B8M3E9	uniprot	134.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylocystaceae;g__Methylocystis;s__Methylocystis parvus	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis parvus	Proteobacteria
UniRef100_B2ICP8	B2ICP8	uniprot	395963.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Beijerinckia;Beijerinckia indica;Beijerinckia indica subsp. indica	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Beijerinckia;s__Beijerinckia indica	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia indica	Proteobacteria
UniRef100_A0A2U3JXM1	A0A2U3JXM1	uniprot	2043167.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;unclassified Syntrophobacter	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter;s__Syntrophobacter sp. SbD1	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	Syntrophobacter sp. SbD1	Proteobacteria
UniRef100_A0A011MD30	A0A011MD30	uniprot	1454001.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria incertae sedis;Candidatus Accumulibacter	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__Candidatus Accumulibacter;s__Candidatus Accumulibacter adjunctus	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	Candidatus Accumulibacter	Candidatus Accumulibacter adjunctus	Proteobacteria
UniRef100_A0A0U5MP26	A0A0U5MP26	uniprot	1663591.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum;unclassified Magnetospirillum	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Magnetospirillum;s__Magnetospirillum sp. XM-1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum sp. XM-1	Proteobacteria
UniRef100_A0A172U771	A0A172U771	uniprot	1727196.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomonas;unclassified Methylomonas	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylomonas;s__Methylomonas sp. DH-1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas sp. DH-1	Proteobacteria
UniRef100_A0A177N0G5	A0A177N0G5	uniprot	980561.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomonas	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylomonas;s__Methylomonas lenta	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas lenta	Proteobacteria
UniRef100_A0A1V8M3G1	A0A1V8M3G1	uniprot	1420851.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methyloprofundus	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methyloprofundus;s__Methyloprofundus sedimenti	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloprofundus	Methyloprofundus sedimenti	Proteobacteria
UniRef100_A0A2W4QH42	A0A2W4QH42	uniprot	2202197.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcales incertae sedis;Candidatus Methylumidiphilus	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__;g__Candidatus Methylumidiphilus;s__Candidatus Methylumidiphilus alinenensis	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	NA	Candidatus Methylumidiphilus	Candidatus Methylumidiphilus alinenensis	Proteobacteria
UniRef100_A0A363SI62	A0A363SI62	uniprot	2072421.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;unclassified Rhodocyclales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__;g__;s__Rhodocyclales bacterium	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	NA	NA	Rhodocyclales bacterium	Proteobacteria
UniRef100_A0A833GQF9	A0A833GQF9	uniprot	1917218.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas;unclassified Dechloromonas	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Azonexaceae;g__Dechloromonas;s__Dechloromonas sp.	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Azonexaceae	Dechloromonas	Dechloromonas sp.	Proteobacteria
UniRef100_Q47EZ8	Q47EZ8	uniprot	159087.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas;Dechloromonas aromatica	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Azonexaceae;g__Dechloromonas;s__Dechloromonas aromatica	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Azonexaceae	Dechloromonas	Dechloromonas aromatica	Proteobacteria
UniRef100_A3ZA64	A3ZA64	uniprot	221360.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus sp. RS9917	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. RS9917	Cyanobacteria
