	seqid	db	taxid	lineage	lineage_taxonkit	k	p	c	o	f	g	s	p_r
UniRef100_A0A537RUU6	A0A537RUU6	uniprot	1913988.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;unclassified Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	Alphaproteobacteria bacterium	Proteobacteria
UniRef100_A0A1Y6D822	A0A1Y6D822	uniprot	1760988.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomagnum	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylomagnum;s__Methylomagnum ishizawai	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomagnum	Methylomagnum ishizawai	Proteobacteria
UniRef100_A0A2T3XN59	A0A2T3XN59	uniprot	863227.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Trinickia	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Trinickia;s__Trinickia symbiotica	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Trinickia	Trinickia symbiotica	Proteobacteria
UniRef100_A0A7X1PDX4	A0A7X1PDX4	uniprot	2026734.0	cellular organisms;Bacteria;Terrabacteria group;Chloroflexi;Dehalococcoidia;unclassified Dehalococcoidia	k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__;f__;g__;s__Dehalococcoidia bacterium	Bacteria	Chloroflexi	Dehalococcoidia	NA	NA	NA	Dehalococcoidia bacterium	Other
UniRef100_A0A1Z4IAU4	A0A1Z4IAU4	uniprot	1973475.0	cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Nostocales;Nostocaceae;Nostoc;unclassified Nostoc	k__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Nostoc;s__Nostoc sp. NIES-2111	Bacteria	Cyanobacteria	NA	Nostocales	Nostocaceae	Nostoc	Nostoc sp. NIES-2111	Cyanobacteria
UniRef100_A0A0X8WUE7	A0A0X8WUE7	uniprot	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UniRef100_A0A1T4W248	A0A1T4W248	uniprot	1121449.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Paucidesulfovibrio;Paucidesulfovibrio gracilis	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Paucidesulfovibrio;s__Paucidesulfovibrio gracilis	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Paucidesulfovibrio	Paucidesulfovibrio gracilis	Proteobacteria
UniRef100_A0A212LF52	A0A212LF52	uniprot	442121.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Pleomorphomonadaceae;Pleomorphomonas;environmental samples	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Pleomorphomonadaceae;g__Pleomorphomonas;s__uncultured Pleomorphomonas sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Pleomorphomonadaceae	Pleomorphomonas	uncultured Pleomorphomonas sp.	Proteobacteria
UniRef100_A0A378XHY4	A0A378XHY4	uniprot	90244.0	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Oligella	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Oligella;s__Oligella ureolytica	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Oligella	Oligella ureolytica	Proteobacteria
UniRef100_I2BBJ3	I2BBJ3	uniprot	630626.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shimwellia;Shimwellia blattae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shimwellia;s__Shimwellia blattae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shimwellia	Shimwellia blattae	Proteobacteria
UniRef100_A0A0K1PF41	A0A0K1PF41	uniprot	1391653.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;Cystobacterineae;Vulgatibacteraceae;Vulgatibacter	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Vulgatibacteraceae;g__Vulgatibacter;s__Vulgatibacter incomptus	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Vulgatibacteraceae	Vulgatibacter	Vulgatibacter incomptus	Proteobacteria
UniRef100_A0A6N7PTC5	A0A6N7PTC5	uniprot	889282.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;Sorangiineae;Polyangiaceae;Polyangium	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Polyangium;s__Polyangium spumosum	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Polyangium	Polyangium spumosum	Proteobacteria
UniRef100_A0A1A6FPT0	A0A1A6FPT0	uniprot	1849840.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylosinus;unclassified Methylosinus	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylocystaceae;g__Methylosinus;s__Methylosinus sp. 3S-1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus	Methylosinus sp. 3S-1	Proteobacteria
UniRef100_A0A1M3N6F4	A0A1M3N6F4	uniprot	1895795.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;unclassified Myxococcales	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__;s__Myxococcales bacterium 68-20	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA	Myxococcales bacterium 68-20	Proteobacteria
UniRef100_A0A501PFG6	A0A501PFG6	uniprot	1505037.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Emcibacterales;Emcibacteraceae;Emcibacter	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Emcibacterales;f__Emcibacteraceae;g__Emcibacter;s__Emcibacter nanhaiensis	Bacteria	Proteobacteria	Alphaproteobacteria	Emcibacterales	Emcibacteraceae	Emcibacter	Emcibacter nanhaiensis	Proteobacteria
UniRef100_A0A5M8FKU4	A0A5M8FKU4	uniprot	424902.0	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiohalocapsa	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiohalocapsa;s__Thiohalocapsa marina	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiohalocapsa	Thiohalocapsa marina	Proteobacteria
UniRef100_A0A1M4UKF2	A0A1M4UKF2	uniprot	1123243.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Schwartzia;Schwartzia succinivorans	k__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Schwartzia;s__Schwartzia succinivorans	Bacteria	Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Schwartzia	Schwartzia succinivorans	Bacillota
UniRef100_A0A378NUL5	A0A378NUL5	uniprot	158847.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas	k__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas hypermegale	Bacteria	Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas hypermegale	Bacillota
UniRef100_A0A4Q2WC18	A0A4Q2WC18	uniprot	1397668.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Desulforamulus	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Desulforamulus;s__Desulforamulus aquiferis	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Desulforamulus	Desulforamulus aquiferis	Bacillota
UniRef100_A0A848BMR3	A0A848BMR3	uniprot	1675036.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	k__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera hexanoica	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera hexanoica	Bacillota
UniRef100_C9LXA9	C9LXA9	uniprot	546271.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;Selenomonas sputigena	k__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas sputigena	Bacteria	Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas sputigena	Bacillota
UniRef100_H5Y3X3	H5Y3X3	uniprot	768710.0	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Eubacteriales;Desulfitobacteriaceae;Desulfosporosinus;Desulfosporosinus youngiae	k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus youngiae	Bacteria	Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfosporosinus	Desulfosporosinus youngiae	Bacillota
UniRef100_A0A1G7GDV4	A0A1G7GDV4	uniprot	69960.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospira	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Rhodospira;s__Rhodospira trueperi	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospira	Rhodospira trueperi	Proteobacteria
UniRef100_A0A7C7VZY3	A0A7C7VZY3	uniprot	2528252.0	cellular organisms;Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;unclassified Thermodesulfobacteriaceae	k__Bacteria;p__Thermodesulfobacteria;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfobacteriaceae;g__;s__Thermodesulfobacteriaceae bacterium	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	NA	Thermodesulfobacteriaceae bacterium	Other
UniRef100_A0A7D5RVV8	A0A7D5RVV8	uniprot	2682137.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Defluviicoccus;unclassified Defluviicoccus	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Defluviicoccus;s__Defluviicoccus sp.	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus	Defluviicoccus sp.	Proteobacteria
UniRef100_A0A7X8C9Q4	A0A7X8C9Q4	uniprot	2026735.0	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__Deltaproteobacteria bacterium	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	Deltaproteobacteria bacterium	Proteobacteria
UniRef100_Q210N4	Q210N4	uniprot	316056.0	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas palustris	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas palustris	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Rhodopseudomonas	Rhodopseudomonas palustris	Proteobacteria
